,artist_id,name,num_albums,num_buyers,num_buys,tags,num_recorded_sales,num_recorded_sales_by_related
0,0,(Sandy) Alex G,4,2323,3441,"'alex g', 'pop', 'domino''nsfw', 'pop''pop', 'bullshit', 'nice', 'philadelphia', 'xxx''pop'",35.0,1694
1,1,",,abrightfar,,",1,3,6,"'experimental', 'abrightfar', 'ambient', 'broken machine films', 'drone', 'electronic', 'illuminated paths', 'keyboard', 'pop', 'score', 'synth', 'vapor', 'vaporwave', 'wave'",0.0,100
2,2,...Of Sinking Ships,1,25,50,"'atmospheric', 'hopesfall', 'indie', 'indie rock', 'instrumental rock', 'metal'",0.0,170
3,3,1800HaightStreet,1,166,166,"'chicago house', 'deep techno', 'detroit house', 'detroit techno', 'electronic', 'hard techno', 'house', 'industrial techno', 'techno', 'analogue', 'left field', 'tough'",2.0,259
4,4,1970's Film Stock,1,5,10,"'1970s', 'experimental', 'broken machine films', 'drone', 'electronic', 'film', 'illuminated paths', 'live', 'lo-fi', 'pop', 'porn', 'rock', 'vaporwave'",0.0,10
5,5,28,1,1,2,"'electronic', 'psy trance', 'chillout', 'downtempo', 'dub', 'shamanic', 'trance'",0.0,75
6,6,2814,2,2641,5474,"'electronic', 'ambient', 'cyberpunk', 'downtempo', 'dream', 'dreampunk', 'experimental', 'future', 'rain', 'vapour''electronic', 'ambient', 'cd', 'cyberpunk', 'dream', 'dreampunk', 'experimental', 'future', 'future ambient', 'love', 'vapour', 'vinyl'",45.0,325
7,7,3 Ninjasks,1,29,29,"'3ds', 'electronic', 'ambient', 'chillwave', 'dance', 'plantcore', 'post-vaporwave', 'slow jams'",0.0,50
8,8,36 Questions,2,23,39,"'soundtrack', 'anti-folk', 'contemporary', 'musical theater', 'musicals''soundtrack', 'anti-folk', 'contemporary', 'musical theater', 'musical theatre', 'musicals', 'soundtrack'",45.0,232
9,9,5ive,2,1,4,"'5ive', 'boston', 'pelican', 'punk', 'hardcore', 'metal', 'post-rock', 'shoegaze', 'stoner', 'stoner rock''5ive', 'pelican', 'punk', 'hardcore', 'intrcptr', 'metal', 'post-rock', 'shoegaze', 'stoner', 'stoner rock'",4.0,68
